# BJD, RAW_FLUX, RAW_FLUX_ERR, CORR_FLUX, CORR_FLUX_ERR, PHASE

2455097.127809 50235.441406 7.713048 1.001351 0.000150 12.973781
2455097.168675 50255.746094 7.713713 1.001747 0.000150 12.977867
2455097.189108 50236.402344 7.713148 1.001358 0.000150 12.979911
2455097.209540 50241.132812 7.713493 1.001448 0.000150 12.981954
2455097.229973 50235.175781 7.713027 1.001325 0.000150 12.983997
2455097.250405 50235.667969 7.713099 1.001331 0.000150 12.986040
2455097.270838 50207.023438 7.712025 1.000756 0.000150 12.988084
2455097.291271 50198.347656 7.711564 1.000579 0.000150 12.990127
2455097.311704 50191.480469 7.711339 1.000438 0.000150 12.992170
2455097.332136 50183.585938 7.710994 1.000277 0.000150 12.994214
2455097.352569 50180.878906 7.711005 1.000219 0.000150 12.996257
2455097.373002 50182.570312 7.710912 1.000249 0.000150 12.998300
2455097.393435 50212.121094 7.712193 1.000834 0.000150 13.000343
2455097.413867 50168.765625 7.710602 0.999966 0.000150 13.002387
2455097.434300 50199.109375 7.711911 1.000567 0.000150 13.004430
2455097.475166 50171.382812 7.710345 1.000007 0.000150 13.008517
2455097.495599 50140.816406 7.709380 0.999394 0.000150 13.010560
2455097.516031 50124.722656 7.708602 0.999070 0.000150 13.012603
2455097.536464 50119.085938 7.708557 0.998954 0.000150 13.014646
2455097.556897 50104.605469 7.707930 0.998662 0.000150 13.016690
2455097.577330 50100.066406 7.707826 0.998568 0.000150 13.018733
2455097.597762 50067.718750 7.706402 0.997919 0.000150 13.020776
2455097.618195 50088.265625 7.707246 0.998325 0.000150 13.022819
2455097.638628 50085.804688 7.707100 0.998273 0.000150 13.024863
2455097.659061 50095.769531 7.707539 0.998468 0.000150 13.026906
2455097.679494 50102.218750 7.708516 0.998593 0.000150 13.028949
2455097.699926 50113.722656 7.708382 0.998818 0.000150 13.030993
2455097.720359 50137.562500 7.709177 0.999290 0.000150 13.033036
2455097.740792 50143.058594 7.709586 0.999396 0.000150 13.035079
2455097.761225 50171.464844 7.710668 0.999959 0.000150 13.037122
2455097.781657 50201.269531 7.711658 1.000549 0.000150 13.039166
2455097.802090 50235.031250 7.713040 1.001219 0.000150 13.041209
2455097.822523 50213.343750 7.712409 1.000783 0.000150 13.043252
2455097.842956 50234.625000 7.713243 1.001204 0.000150 13.045296
2455097.863388 50241.484375 7.713493 1.001337 0.000150 13.047339
2455097.883821 50247.589844 7.713730 1.001455 0.000150 13.049382
2455097.904254 50222.750000 7.712819 1.000957 0.000150 13.051425
2455097.924687 50222.730469 7.712831 1.000953 0.000150 13.053469
2455097.945120 50214.664062 7.713004 1.000789 0.000150 13.055512
2455097.965552 50206.757812 7.712107 1.000628 0.000150 13.057555
2455097.985985 50211.085938 7.712443 1.000711 0.000150 13.059599
2455098.006418 50197.742188 7.711830 1.000441 0.000150 13.061642
2455098.026851 50188.437500 7.711368 1.000252 0.000150 13.063685
2455098.047283 50189.773438 7.711296 1.000276 0.000150 13.065728
2455098.067716 50181.375000 7.711065 1.000105 0.000150 13.067772
2455098.088149 50190.515625 7.711391 1.000284 0.000150 13.069815
2455098.108582 50192.652344 7.711729 1.000323 0.000150 13.071858
2455098.129014 50175.109375 7.710992 0.999970 0.000150 13.073901
2455098.149447 50175.117188 7.711133 0.999967 0.000150 13.075945
2455098.169880 50176.890625 7.710996 0.999999 0.000150 13.077988
2455098.190313 50152.503906 7.710154 0.999509 0.000150 13.080031
2455098.210745 50156.914062 7.710058 0.999594 0.000150 13.082074
2455098.231178 50140.996094 7.709508 0.999273 0.000150 13.084118
2455098.251611 50136.234375 7.709429 0.999175 0.000150 13.086161
2455098.272044 50115.957031 7.708588 0.998767 0.000150 13.088204
2455098.292477 50104.246094 7.708128 0.998531 0.000150 13.090248
2455098.312909 50085.566406 7.707339 0.998155 0.000150 13.092291
2455098.333342 50084.003906 7.707372 0.998120 0.000150 13.094334
2455098.353775 50066.222656 7.706506 0.997763 0.000150 13.096378
2455098.374208 50093.847656 7.707576 0.998310 0.000150 13.098421
2455098.394640 50093.269531 7.707752 0.998295 0.000150 13.100464
2455098.415073 50089.992188 7.707588 0.998226 0.000150 13.102507
2455098.435506 50156.820312 7.710311 0.999555 0.000150 13.104551
2455098.455939 50137.023438 7.709476 0.999157 0.000150 13.106594
2455098.476371 50185.320312 7.711505 1.000116 0.000150 13.108637
2455098.496804 50195.347656 7.711850 1.000312 0.000150 13.110680
2455098.517237 50214.050781 7.712652 1.000681 0.000150 13.112724
2455098.537670 50218.152344 7.712678 1.000760 0.000150 13.114767
2455098.558102 50238.949219 7.713479 1.001171 0.000150 13.116810
2455098.578535 50241.562500 7.713805 1.001219 0.000150 13.118853
