Title: Discovery of a Detached, Eclipsing 40 min Period Double White Dwarf 
       Binary and a Friend: Implications for He+CO White Dwarf Mergers  
Authors: Brown W.R., Kilic M., Kosakowski A., Gianninas A.
Figure: Light curves of J0822 and J1043
================================================================================
Byte-by-byte Description of file: dbf3.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1- 26 A26    ---     ID     SDSS coordinate identifier
  28- 37 F10.8  d       HJD    Heliocentric Julian Date minus 2457814
  39- 45 F7.4   mag     mag    Relative magnitude (1)
  47- 52 F6.4   mag   e_mag    Uncertainty in mag
--------------------------------------------------------------------------------
SDSS J104336.275+055149.90 0.89816086 -0.0057 0.0241
SDSS J104336.275+055149.90 0.89833446  0.0219 0.0251
SDSS J104336.275+055149.90 0.89850806  0.0082 0.0251
SDSS J104336.275+055149.90 0.89868168 -0.0080 0.0231
SDSS J104336.275+055149.90 0.89885528  0.0048 0.0231
SDSS J104336.275+055149.90 0.89902894 -0.0040 0.0241
SDSS J104336.275+055149.90 0.89920254  0.0091 0.0241
SDSS J104336.275+055149.90 0.89937614  0.0178 0.0241
SDSS J104336.275+055149.90 0.89954977  0.0174 0.0231
SDSS J104336.275+055149.90 0.89972336  0.0090 0.0241
SDSS J104336.275+055149.90 0.89989696  0.0350 0.0251
SDSS J104336.275+055149.90 0.90007059 -0.0199 0.0231
SDSS J104336.275+055149.90 0.90024419 -0.0345 0.0231
SDSS J104336.275+055149.90 0.90041779  0.0298 0.0231
SDSS J104336.275+055149.90 0.90059141 -0.0011 0.0241
SDSS J104336.275+055149.90 0.90076501 -0.0392 0.0231
SDSS J104336.275+055149.90 0.90093861  0.0083 0.0241
SDSS J104336.275+055149.90 0.90111224 -0.0165 0.0231
SDSS J104336.275+055149.90 0.90128584  0.0501 0.0251
SDSS J104336.275+055149.90 0.90145944 -0.0040 0.0231
SDSS J104336.275+055149.90 0.90163309 -0.0258 0.0231
SDSS J104336.275+055149.90 0.90180669  0.0156 0.0241
SDSS J104336.275+055149.90 0.90198032  0.0026 0.0241
SDSS J104336.275+055149.90 0.90215392 -0.0306 0.0221
SDSS J104336.275+055149.90 0.90232752 -0.0074 0.0241
SDSS J104336.275+055149.90 0.90250115 -0.0326 0.0241
SDSS J104336.275+055149.90 0.90267474 -0.0110 0.0231
SDSS J104336.275+055149.90 0.90284834  0.0199 0.0241
SDSS J104336.275+055149.90 0.90302197 -0.0149 0.0231
